Hostname,Host ID,Last Seen,First Seen,Platform,OS Version,Type,Local IP,External IP,MAC Address,Sensor Version,Host Groups,Sensor Tags,Last Logged In User Account,Prevention Policy,Sensor Update Policy,Content Update Policy,Host Retention Policy
AFA-01-00-007,75d6ae8911b54a2589723cc80daab12d,2025-12-09T01:49:00Z,2025-02-13T04:57:04Z,Windows,Windows 10,Workstation,10.104.145.134,202.28.219.118,b8-ae-ed-d5-3b-6a,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",RTARFTTG521,"Recommended policy
03 Apr 25 00:26 UTC","uninstall
09 Oct 25 02:08 UTC","platform_default
17 Apr 25 07:30 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 05:00 UTC"
AFA-01-01-08,5e02601510cb4ecc915cebc57d5d13f9,2025-12-08T09:42:17Z,2025-02-13T04:40:24Z,Windows,Windows 10,Workstation,10.104.145.106,110.164.235.254,04-0e-3c-31-a0-84,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",RTARF_ADMINI69,"Recommended policy
02 Apr 25 10:10 UTC","uninstall
09 Oct 25 02:10 UTC","platform_default
17 Apr 25 00:31 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 04:44 UTC"
AFA-01-01-13,cf942a211a11419189e0ea4e586d4b93,2025-12-09T01:44:13Z,2025-02-13T04:42:07Z,Windows,Windows 11,Workstation,10.104.145.31,203.113.121.2,1c-bf-c0-c5-df-71,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",RTARF-FFDG482,"Recommended policy
17 Jun 25 06:26 UTC","uninstall
09 Oct 25 02:00 UTC","platform_default
21 Apr 25 01:10 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 04:43 UTC"
AFA-01-03,573dd247955f445ba5bed39c0d53e18d,2025-12-09T01:45:46Z,2025-02-13T04:00:38Z,Windows,Windows 10,Workstation,10.104.145.149,202.28.219.118,04-0e-3c-31-9f-cb,7.27.19909.0,"Client,DisableProtection,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client,FalconGroupingTags/DisableProtection",RTARF_0035,"DisableProtection
17 Sep 25 02:14 UTC","uninstall
09 Oct 25 01:59 UTC","platform_default
17 Apr 25 01:05 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 04:04 UTC"
AFA-01-03-003,b19ee72ee16f4bfcbcf1d22805413c90,2025-12-09T02:04:24Z,2025-02-13T04:37:01Z,Windows,Windows 10,Workstation,10.104.145.161,202.28.219.118,dc-4a-3e-8c-75-71,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",Suttipun,"Recommended policy
07 Apr 25 10:09 UTC","uninstall
09 Oct 25 02:08 UTC","platform_default
21 Apr 25 01:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 04:42 UTC"
AFA-01-03-006,d9f2b99ec0a1445bb56f53744fdefc7a,2025-12-09T02:02:21Z,2025-02-13T04:38:44Z,Windows,Windows 10,Workstation,10.104.145.89,110.164.235.254,d0-50-99-84-e7-ef,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",RTARF-WD2553,"Recommended policy
03 Apr 25 01:23 UTC","uninstall
09 Oct 25 01:58 UTC","platform_default
17 Apr 25 00:59 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 04:41 UTC"
AFA-01-03-007,4687db003bfd4a668038e58850b146f8,2025-12-09T01:47:44Z,2025-02-13T04:38:42Z,Windows,Windows 10,Workstation,10.104.145.93,110.164.235.254,a0-8c-fd-c7-d0-80,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",Buds,"Recommended policy
03 Apr 25 01:14 UTC","uninstall
09 Oct 25 01:59 UTC","platform_default
17 Apr 25 01:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 04:40 UTC"
AFA-01-05-004,6d2d18a1842f40d89a5abb9d3fb3170a,2025-12-09T01:48:48Z,2025-02-13T04:21:31Z,Windows,Windows 10,Workstation,10.104.145.112,125.24.252.135,d0-50-99-84-e0-5b,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",KD computer,"Recommended policy
03 Apr 25 01:20 UTC","uninstall
09 Oct 25 07:49 UTC","platform_default
17 Apr 25 01:15 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 04:23 UTC"
AFA-01-05-007,256ab649a3b4486e9c15344f72beb64d,2025-12-09T01:38:32Z,2025-02-13T04:21:01Z,Windows,Windows 10,Workstation,10.104.145.90,202.28.219.118,48-0f-cf-48-9d-c8,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",KD computer,"Recommended policy
03 Apr 25 01:18 UTC","uninstall
09 Oct 25 01:56 UTC","platform_default
21 Apr 25 01:13 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 04:22 UTC"
AFA-02-01-001,800ac93af47f4774923b33868c0caa30,2025-12-09T01:33:43Z,2025-02-13T07:47:20Z,Windows,Windows 10,Workstation,10.104.176.184,125.24.252.135,74-27-ea-3b-a9-50,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",RTARF_LM67,"Recommended policy
03 Apr 25 00:59 UTC","uninstall
09 Oct 25 02:01 UTC","platform_default
17 Apr 25 02:41 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 07:50 UTC"
AFA-02-01-102,5ca8b5c75cf246e982c7f6e6509a899f,2025-12-09T01:58:14Z,2025-02-13T07:52:41Z,Windows,Windows 11,Workstation,192.168.137.1,202.28.219.118,1c-bf-c0-c5-89-ef,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",,"Recommended policy
03 Apr 25 00:59 UTC","uninstall
09 Oct 25 02:00 UTC","platform_default
17 Apr 25 00:59 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 07:55 UTC"
AFA-02-01-301,f93bfede54c1444abcc5c8258cb0e4bc,2025-12-09T01:40:41Z,2025-02-13T07:55:16Z,Windows,Windows 11,Workstation,10.104.176.113,203.113.121.2,04-0e-3c-31-a2-86,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",Supranee,"Recommended policy
03 Apr 25 01:11 UTC","uninstall
09 Oct 25 02:08 UTC","platform_default
21 Apr 25 01:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 07:58 UTC"
AFA-02-02-101,92c69f2da5294a488cb67bf1f2583677,2025-12-09T01:56:17Z,2025-02-13T08:04:50Z,Windows,Windows 11,Workstation,192.168.1.152,110.164.235.254,74-04-f1-d7-45-f6,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",tupimay2528@gmail.com,"Recommended policy
25 Jun 25 02:44 UTC","uninstall
09 Oct 25 02:14 UTC","platform_default
17 Apr 25 03:01 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 08:11 UTC"
AFA-02-02-102,bd5efbfc1422484a91db833e6da2cfaf,2025-12-09T01:57:28Z,2025-02-13T08:02:00Z,Windows,Windows 11,Workstation,192.168.1.129,202.28.219.118,d4-61-37-00-5b-cf,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",nana_,"Recommended policy
03 Apr 25 01:02 UTC","uninstall
09 Oct 25 02:01 UTC","platform_default
17 Apr 25 01:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 08:05 UTC"
AFA-02-03-103-D,127384caaccf4505bcb2400c45be8cd0,2025-12-09T02:00:20Z,2025-02-13T08:11:31Z,Windows,Windows 10,Workstation,10.104.176.129,202.28.219.118,44-37-e6-cf-c6-53,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",RTARF-TFG593,"Recommended policy
03 Apr 25 01:29 UTC","uninstall
09 Oct 25 01:59 UTC","platform_default
17 Apr 25 02:14 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 08:12 UTC"
AFA-02-03-104-D,1935a52ca58e482ca04e9f62f1f9a881,2025-12-09T01:39:55Z,2025-02-13T08:19:58Z,Windows,Windows 10,Workstation,10.104.176.111,203.113.121.2,44-37-e6-cf-9f-90,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",hello,"Recommended policy
03 Apr 25 01:20 UTC","uninstall
10 Oct 25 01:22 UTC","platform_default
17 Apr 25 02:22 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 08:24 UTC"
AFA-06-01-101,7eb4a93c66cd4dcba565eabd2edb4c94,2025-12-08T08:07:29Z,2025-02-13T07:50:44Z,Windows,Windows 10,Workstation,10.104.176.199,202.28.219.118,80-9b-20-ee-16-88,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afaps-O7,SensorGroupingTags/Outsite,SensorGroupingTags/Client",hello,"Recommended policy
03 Apr 25 03:11 UTC","uninstall
09 Oct 25 06:25 UTC","platform_default
17 Apr 25 02:09 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 07:55 UTC"
AFAPS-004,f86084033d114db4a273bf1951be4153,2025-12-09T01:47:05Z,2025-03-14T07:03:28Z,Windows,Windows 11,Workstation,10.104.170.50,125.24.252.135,d0-f4-05-38-27-a8,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",ngamthip.p,"Recommended policy
08 Apr 25 01:12 UTC","uninstall
09 Oct 25 02:01 UTC","platform_default
17 Apr 25 01:17 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
14 Mar 25 07:05 UTC"
AFAPS-005,ba99903fc2a44e92a84c01a09b1f2fe5,2025-12-08T07:33:04Z,2025-03-14T07:37:09Z,Windows,Windows 11,Workstation,10.104.170.88,125.24.252.135,d0-f4-05-38-29-0e,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",sombun.w,"Recommended policy
21 Apr 25 01:29 UTC","uninstall
09 Oct 25 06:32 UTC","platform_default
18 Apr 25 03:15 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
14 Mar 25 07:40 UTC"
AFAPS-006,24e67c4e026544efa8bd10d2e178f351,2025-11-28T08:15:14Z,2025-03-16T07:01:43Z,Windows,Windows 11,Workstation,10.104.170.116,125.24.252.135,d0-f4-05-37-eb-d7,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",nutchari.s,"Recommended policy
03 Apr 25 01:03 UTC","uninstall
15 Oct 25 03:22 UTC","platform_default
17 Apr 25 00:43 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
16 Mar 25 07:02 UTC"
AFAPS-007,debe165cc27949249ca8bb49f29163c5,2025-12-04T05:24:10Z,2025-01-24T03:31:10Z,Windows,Windows 11,Workstation,10.104.164.27,125.24.252.135,e0-8f-4c-59-6a-4b,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",satit.p,"Recommended policy
08 Apr 25 01:33 UTC","uninstall
09 Oct 25 02:31 UTC","platform_default
21 Apr 25 00:54 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
24 Jan 25 03:33 UTC"
AFAPS-008,54ff9e90571c47b78e03ae4f386ed510,2025-11-10T09:17:13Z,2025-10-24T03:26:08Z,Windows,Windows 11,Workstation,10.104.170.144,125.24.252.135,98-bd-80-e1-18-6a,7.28.20008.0,Client,"SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",surachet.ano,"Recommended policy
24 Oct 25 03:32 UTC","platform_default
24 Oct 25 03:47 UTC","platform_default
24 Oct 25 03:31 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
24 Oct 25 03:32 UTC"
AFDC-012,aa442b4cbfbf454eb873a391454efb0f,2025-12-01T09:05:55Z,2025-06-06T06:50:06Z,Windows,Windows 11,Workstation,10.104.142.179,110.164.235.168,d0-f4-05-38-25-a3,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",supawadee.p,"Recommended policy
16 Jun 25 03:17 UTC","uninstall
10 Oct 25 01:48 UTC","platform_default
06 Jun 25 07:00 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
06 Jun 25 07:01 UTC"
AFDC-013,7da76857a85546d2b982d88023749d57,2025-12-08T08:24:34Z,2025-06-26T10:17:28Z,Windows,Windows 11,Workstation,10.133.202.34,110.164.235.157,bc-38-98-83-74-80,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",wachicaporn.w,"Recommended policy
08 Sep 25 05:48 UTC","uninstall
14 Oct 25 02:51 UTC","platform_default
26 Jun 25 10:20 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
26 Jun 25 10:22 UTC"
AFDC-017,04d6c8f102db48a494d8608333931d1d,2025-12-09T01:54:17Z,2025-07-07T03:28:32Z,Windows,Windows 11,Workstation,10.104.184.49,110.164.235.150,d0-f4-05-38-22-18,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",natthiya.j,"Recommended policy
16 Jul 25 03:06 UTC","uninstall
09 Oct 25 01:58 UTC","platform_default
07 Jul 25 03:31 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Jul 25 03:31 UTC"
AFDC-018,f3bcf416fb844c538871037c7efe7ed3,2025-12-09T01:59:43Z,2025-11-21T03:47:10Z,Windows,Windows 11,Workstation,10.104.186.162,110.164.235.167,d0-f4-05-38-29-48,7.29.20108.0,Client,"SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",surakit.s,"Recommended policy
24 Nov 25 07:33 UTC","platform_default
24 Nov 25 07:34 UTC","platform_default
21 Nov 25 03:50 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
21 Nov 25 03:52 UTC"
AFDC-019,5c076d15463e4385a2954cd44516c2d1,2025-12-09T02:05:11Z,2025-05-27T03:32:00Z,Windows,Windows 11,Workstation,192.168.137.1,125.24.229.114,be-38-98-83-74-71,7.27.19907.0,"Client,DisableProtection,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client,FalconGroupingTags/DisableProtection",sittichok.n,"DisableProtection
13 Nov 25 03:51 UTC","uninstall
09 Oct 25 05:49 UTC","platform_default
27 May 25 03:35 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
27 May 25 03:37 UTC"
AFDC-021,3d6948b98a794c6db28ef6f8f05e216d,2025-12-08T09:15:02Z,2025-05-23T01:57:59Z,Windows,Windows 11,Workstation,10.104.187.112,110.164.235.145,d0-f4-05-38-26-26,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",chaloempol.w,"Recommended policy
13 Jun 25 07:09 UTC","uninstall
09 Oct 25 03:19 UTC","platform_default
27 May 25 07:17 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
27 May 25 07:18 UTC"
AFDC-023,5006369f8bb04a30b91a80fe92782ef7,2025-12-09T01:57:13Z,2025-06-27T02:37:45Z,Windows,Windows 11,Workstation,10.104.185.13,110.164.235.142,d0-f4-05-38-23-f5,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",sujitra.p,"Recommended policy
01 Aug 25 05:34 UTC","uninstall
09 Oct 25 02:03 UTC","platform_default
27 Jun 25 02:39 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
27 Jun 25 02:40 UTC"
AFFAIRS-2303,542c688389534454832991e073c6ae25,2025-12-08T08:55:29Z,2025-02-10T03:28:18Z,Windows,Windows 10,Workstation,10.130.208.185,110.164.235.138,98-ee-cb-63-8b-d2,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/J6-J-B7-fl456,SensorGroupingTags/Insite,SensorGroupingTags/Client",Affairs-2303,"Recommended policy
08 Apr 25 04:25 UTC","uninstall
09 Oct 25 02:25 UTC","platform_default
17 Apr 25 02:07 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
10 Feb 25 03:32 UTC"
AFFAIRS-2305,139f0acde01740baa15a8e31e47a63bf,2025-12-09T01:48:35Z,2025-02-10T03:25:12Z,Windows,Windows 11,Workstation,10.130.208.178,110.164.235.169,70-b5-e8-56-0a-b4,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/J6-J-B7-fl456,SensorGroupingTags/Insite,SensorGroupingTags/Client",Affiairs-2305,"Recommended policy
09 Apr 25 01:26 UTC","uninstall
14 Oct 25 06:55 UTC","platform_default
18 Apr 25 03:20 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
10 Feb 25 03:27 UTC"
AFFAIRS-2306,d1db3d1b17af4a599fa50e4e070e8a29,2025-12-09T01:45:02Z,2025-02-10T03:28:54Z,Windows,Windows 10,Workstation,10.130.208.189,110.164.235.142,c8-1f-66-0e-25-5e,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/J6-J-B7-fl456,SensorGroupingTags/Insite,SensorGroupingTags/Client",Affairs 2351,"Recommended policy
02 Apr 25 10:10 UTC","uninstall
09 Oct 25 01:57 UTC","platform_default
17 Apr 25 01:13 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
10 Feb 25 03:31 UTC"
AFSC-003,311ae22dacbc4725a9e6461d5f2aa673,2025-12-09T01:47:28Z,2025-01-24T05:06:16Z,Windows,Windows 11,Workstation,10.132.21.25,83.118.88.66,d0-f4-05-38-24-28,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",pranida.t,"Recommended policy
03 Apr 25 01:47 UTC","uninstall
08 Oct 25 04:21 UTC","platform_default
17 Apr 25 02:54 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
24 Jan 25 05:09 UTC"
AFSC-004,96bd02efadc2454eb1e99d728d1c1d95,2025-12-09T01:57:18Z,2025-11-19T03:05:39Z,Windows,Windows 11,Workstation,10.132.21.44,171.7.85.253,d0-f4-05-38-23-a8,7.29.20108.0,Client,"SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",wararat.d,"Recommended policy
25 Nov 25 01:10 UTC","platform_default
25 Nov 25 01:10 UTC","platform_default
19 Nov 25 03:09 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
19 Nov 25 03:09 UTC"
AFSC-006,e989c986f6344b6381431ac802ebc684,2025-10-31T07:30:16Z,2025-10-31T07:28:43Z,Windows,Windows 11,Workstation,10.132.22.16,83.118.88.66,d0-f4-05-38-23-ac,7.17.18721.0,Client,"SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",,"Recommended policy
Changes pending","platform_default
Changes pending","platform_default
31 Oct 25 07:33 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
31 Oct 25 07:34 UTC"
AFSC-007,9bd550318a894c229d9c9ad57023b846,2025-12-02T01:39:30Z,2025-01-24T04:59:58Z,Windows,Windows 11,Workstation,10.132.49.89,110.164.235.160,d0-f4-05-38-24-fd,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",thongchai.ro,"Recommended policy
03 Apr 25 06:39 UTC","uninstall
09 Oct 25 01:59 UTC","platform_default
18 Apr 25 02:19 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
24 Jan 25 05:03 UTC"
AFSC-008,cdfc6aaa134947ef89af5df4b60e2764,2025-11-10T06:09:05Z,2025-09-25T07:50:45Z,Windows,Windows 11,Workstation,10.132.22.6,83.118.88.66,d0-f4-05-38-22-b1,7.26.19811.0,"Client,uninstall-group","SensorGroupingTags/AD,SensorGroupingTags/Insite,SensorGroupingTags/Client",jakrapong.san,"Recommended policy
25 Sep 25 07:58 UTC","uninstall
03 Nov 25 02:24 UTC","platform_default
25 Sep 25 07:57 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
25 Sep 25 07:58 UTC"
