Endpoint Name	Endpoint Type	Endpoint Status	Operating System	Agent Version	IP Address	IPv6 Address	User	Endpoint Alias	Last Seen	Content Version	Assigned Prevention Policy	Assigned Extensions Policy	Tags	Active Directory	Last Upgrade Status	Last Upgrade Status Time	Last Upgrade Failure Reason	Last Upgrade Source	Linux Operation Mode	IT Metrics Collection	Last Certificate Enforcement Fallback	Cluster Name	Cloud Provider	Cloud Region	Cloud Provider Account ID	Cloud Instance ID
031241-B03	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.188		N/A\RTARF		Dec 9th 2025 09:38:57	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031241-B05	Workstation	Disconnected	Windows 10	8.9.0.14028	10.142.30.89		N/A\Windows		Dec 4th 2025 15:10:12	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031241-B06	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.195		N/A\HP		Dec 9th 2025 09:41:41	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031241-J04	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.155		N/A\DAG-KKP		Dec 9th 2025 09:42:46	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031241-J07	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.156		N/A\Windows 10		Dec 9th 2025 09:42:41	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031241-P004	Workstation	Connected	Windows 11	8.9.0.14028	10.142.20.23		N/A\User		Dec 9th 2025 09:41:17	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031241-P01	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.191		N/A\HP		Dec 9th 2025 09:38:22	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031241-P02	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.190		N/A\HP		Dec 9th 2025 09:39:57	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031241-P03	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.111, 10.142.24.201		N/A\Windows 10		Dec 9th 2025 09:42:27	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031242-B05	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.239.210				Dec 8th 2025 16:00:34	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031242-B07	Workstation	Disconnected	Windows 11	8.9.0.14028	10.104.239.209				Nov 26th 2025 16:01:34	2050-26345	Lowed Ram	Windows Default	{'server_tags': ['DAG-B9', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031242-B08	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.239.214				Dec 8th 2025 15:58:33	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031242-B09	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.213		N/A\SUPAPORN		Dec 9th 2025 09:38:51	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
03125-01	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.239.154				Dec 4th 2025 14:49:45	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
03125-03	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.141		N/A\rtarf		Dec 9th 2025 09:42:10	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
03125-04	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.239.136				Dec 8th 2025 14:29:22	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
a	Workstation	Disconnected	Windows 11	8.9.0.14028	10.142.20.79				Dec 2nd 2025 11:14:37	2050-26345	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['FIN-B4', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
Admin	Workstation	Connected	Windows 11	8.9.0.14028	10.104.239.47, 10.142.27.89		N/A\PC		Dec 9th 2025 09:41:18	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
Administrator	Workstation	Connected	Windows 10	8.9.0.14028	10.100.238.110		N/A\localadmin123		Dec 9th 2025 09:39:00	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['J6-B7', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
ae	Workstation	Disconnected	Windows 11	8.9.0.14028	10.104.126.22, 10.142.16.19				Dec 3rd 2025 11:28:32	2050-26345	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['OIG-B6', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
afdc-007	Workstation	Disconnected	Windows 11	8.9.0.14028	10.143.20.26				Dec 9th 2025 06:37:28	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['AFD-SongPrapha', 'Phase2'], 'endpoint_tags': []}	rtarf.local/6000000000, rtarf.local/domain computers, rtarf.local/adauditplusws, rtarf.local/6000000000/6210000000, rtarf.local/6000000000/6210000000/computers	No Upgrade					Disabled			On Prem			
afdc-024	Workstation	Disconnected	Windows 11	8.9.0.14028	10.104.185.15		rtarf.mi.th\pannapat.w		Dec 1st 2025 14:58:35	2050-26345	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['AFD-SongPrapha', 'Phase2'], 'endpoint_tags': []}	rtarf.local/networkaccess, rtarf.local/g_center_calendar10, rtarf.local/domain users, rtarf.local/stafflan, rtarf.local/6000000000, rtarf.local/staffwifi-users, rtarf.local/networkauthen, rtarf.local/1-old ous/sharepoint/central calendar_ou, rtarf.local/g_center_calendar09, rtarf.local/users, rtarf.local/1-old ous/sharepoint, rtarf.local/networkaccess/iamauthen-users, rtarf.local/1-old ous, rtarf.local/1-old ous/sharepoint/test2013, rtarf.local/domain computers, rtarf.local/g_center_calendar_view, rtarf.local/networkaccess/arubawifi-users, rtarf.local/1-ecm, rtarf.local/1-old ous/j-1, rtarf.local/education young, rtarf.local/adauditplusws, rtarf.local/afdcecm, rtarf.local/6000000000/6210000000, rtarf.local/6000000000/6210000000/users, rtarf.local/6000000000/6210000000/computers	No Upgrade					Disabled			On Prem			
AFDC007	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.186.19				Nov 12th 2025 15:57:26	2030-25670	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['AFD-SongPrapha', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
Audit1-3	Workstation	Disconnected	Windows 11	8.9.0.14028	10.142.28.245				Dec 4th 2025 15:31:15	2060-26856	Lowed Ram	Windows Default	{'server_tags': ['OIA-B5', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
Bank-pc	Workstation	Connected	Windows 11	8.9.0.14028	10.142.20.223		N/A\10104125120		Dec 9th 2025 09:42:23	2060-26856	Lowed Ram	Windows Default	{'server_tags': ['OIA-B5', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
budget1	Workstation	Connected	Windows 10	8.9.0.14028	10.104.125.53		N/A\RTARF		Dec 9th 2025 09:39:43	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['OIA-B5', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03010402125088	Workstation	Connected	Windows 10	8.9.0.14028	10.104.125.88		N/A\RTARF		Dec 8th 2025 15:57:48	2060-26856	Lowed Ram	Windows Default	{'server_tags': ['OIA-B5', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03081002208180	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.108.157				Dec 4th 2025 14:40:00	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['OCG-B5', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130001112047	Workstation	Disconnected	Windows 11	8.9.0.14028	10.104.112.47				Dec 9th 2025 09:09:53	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['FIN-B4', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130001112062	Workstation	Connected	Windows 11	8.9.0.14028	10.104.112.62		N/A\Adm		Dec 9th 2025 09:39:36	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['FIN-B4', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130002112214	Workstation	Connected	Windows 10	8.9.0.14028	10.104.112.214		N/A\Babymind		Dec 9th 2025 09:42:41	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['FIN-B4', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130004112127	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.112.127				Dec 4th 2025 15:42:03	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['FIN-B4', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130004112192	Workstation	Connected	Windows 10	8.9.0.14028	10.104.112.192		N/A\C03130004112192		Dec 9th 2025 09:40:43	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['FIN-B4', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130006112178	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.112.178				Dec 8th 2025 15:48:58	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['FIN-B4', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
CCSD-ANA01-005	Workstation	Connected	Windows 11	8.9.0.14028	10.142.21.83		N/A\Jiratham.S		Dec 9th 2025 09:38:54	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['J6-B7', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
CK	Workstation	Connected	Windows 11	8.9.0.14028	10.143.23.47		N/A\User		Dec 9th 2025 09:42:31	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['Phase2', 'AFD-SongPrapha'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
CloudIdentity	Server	Connected	Windows Server 2022	8.9.0.14028	10.104.117.112				Dec 9th 2025 09:38:51	2060-26856	Windows - Report mode policy with Content caching	Windows Default	{'server_tags': ['Server'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dag-001	Workstation	Connected	Windows 11	8.9.0.14028	10.104.239.11		rtarf.mi.th\wararat.n		Dec 9th 2025 09:42:42	2060-26856	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DAG-B9'], 'endpoint_tags': []}	rtarf.local/networkaccess, rtarf.local/g_center_calendar10, rtarf.local/domain users, rtarf.local/stafflan, rtarf.local/6000000000, rtarf.local/staffwifi-users, rtarf.local/networkauthen, rtarf.local/1-old ous/sharepoint/central calendar_ou, rtarf.local/g_center_calendar09, rtarf.local/users, rtarf.local/1-old ous/sharepoint, rtarf.local/networkaccess/iamauthen-users, rtarf.local/1-old ous, rtarf.local/1-old ous/sharepoint/test2013, rtarf.local/domain computers, rtarf.local/g_center_calendar_view, rtarf.local/networkaccess/arubawifi-users, rtarf.local/vpn_group, rtarf.local/1-ecm, rtarf.local/1-security groups, rtarf.local/6000000000/6150000000, rtarf.local/6000000000/6150000000/users, rtarf.local/1-old ous/agd, rtarf.local/6000000000/6310000000/computers, rtarf.local/agdlearnecm, rtarf.local/vpn.dag, rtarf.local/ad-agd group, rtarf.local/6000000000/6310000000, rtarf.local/docagdlearn, rtarf.local/adauditplusws	No Upgrade					Disabled			On Prem			
dag-005	Workstation	Connected	Windows 11	8.9.0.14028	10.142.19.239		rtarf.mi.th\pannachai.w		Dec 9th 2025 09:42:04	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}	rtarf.local/networkaccess, rtarf.local/g_center_calendar10, rtarf.local/domain users, rtarf.local/stafflan, rtarf.local/6000000000, rtarf.local/staffwifi-users, rtarf.local/networkauthen, rtarf.local/1-old ous/sharepoint/central calendar_ou, rtarf.local/g_center_calendar09, rtarf.local/users, rtarf.local/1-old ous/sharepoint, rtarf.local/networkaccess/iamauthen-users, rtarf.local/1-old ous, rtarf.local/1-old ous/sharepoint/test2013, rtarf.local/domain computers, rtarf.local/g_center_calendar_view, rtarf.local/networkaccess/arubawifi-users, rtarf.local/vpn_group, rtarf.local/1-ecm, rtarf.local/1-security groups, rtarf.local/6000000000/6310000000/computers, rtarf.local/agdlearnecm, rtarf.local/vpn.dag, rtarf.local/6000000000/6310000000, rtarf.local/docagdlearn, rtarf.local/6000000000/6310000000/users, rtarf.local/adauditplusws	No Upgrade					Disabled			On Prem			
dag-009	Workstation	Connected	Windows 11	8.9.0.14028	10.142.29.176		rtarf.mi.th\thanyared.ch		Dec 9th 2025 09:40:43	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}	rtarf.local/networkaccess, rtarf.local/g_center_calendar10, rtarf.local/domain users, rtarf.local/stafflan, rtarf.local/6000000000, rtarf.local/staffwifi-users, rtarf.local/networkauthen, rtarf.local/1-old ous/sharepoint/central calendar_ou, rtarf.local/g_center_calendar09, rtarf.local/users, rtarf.local/1-old ous/sharepoint, rtarf.local/networkaccess/iamauthen-users, rtarf.local/1-old ous, rtarf.local/1-old ous/sharepoint/test2013, rtarf.local/domain computers, rtarf.local/g_center_calendar_view, rtarf.local/networkaccess/arubawifi-users, rtarf.local/6000000000/6310000000/computers, rtarf.local/6000000000/6310000000, rtarf.local/6000000000/6310000000/users, rtarf.local/adauditplusws	No Upgrade					Disabled			On Prem			
DAG-12-4-3-006	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.225		rtarf.mi.th\krit.chu		Dec 9th 2025 09:38:19	2060-26856	Lowed Ram	Windows Default	{'server_tags': ['DAG-B9', 'SlowDown'], 'endpoint_tags': []}	rtarf.local/networkaccess, rtarf.local/g_center_calendar10, rtarf.local/domain users, rtarf.local/stafflan, rtarf.local/6000000000, rtarf.local/staffwifi-users, rtarf.local/networkauthen, rtarf.local/1-old ous/sharepoint/central calendar_ou, rtarf.local/g_center_calendar09, rtarf.local/users, rtarf.local/1-old ous/sharepoint, rtarf.local/networkaccess/iamauthen-users, rtarf.local/1-old ous, rtarf.local/1-old ous/sharepoint/test2013, rtarf.local/domain computers, rtarf.local/g_center_calendar_view, rtarf.local/networkaccess/arubawifi-users, rtarf.local/vpn_group, rtarf.local/6000000000/6310000000/computers, rtarf.local/vpn.dag, rtarf.local/6000000000/6310000000, rtarf.local/6000000000/6310000000/users, rtarf.local/adauditplusws	No Upgrade					Disabled			On Prem			
dba-0316-0-001	Workstation	Disconnected	Windows 11	8.9.0.14028	192.168.39.44				Dec 8th 2025 15:02:05	2060-26856	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
DBA-0316-00-002	Workstation	Disconnected	Windows 11	8.9.0.14028	10.142.24.29				Dec 8th 2025 16:33:44	2060-26856	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-10-001	Workstation	Connected	Windows 11	8.9.0.14028	10.104.120.91		N/A\Admin		Dec 9th 2025 09:42:41	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-10-003	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.94		N/A\RTARF		Dec 9th 2025 09:40:00	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-10-006	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.110		N/A\Col.Yuttapon		Dec 8th 2025 22:38:45	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-11-003	Workstation	Connected	Windows 10	8.9.0.14028	10.142.21.121		N/A\User_Pc002		Dec 9th 2025 09:41:25	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-11-004	Workstation	Connected	Windows 10	8.9.0.14028	10.142.21.25		N/A\RTARF		Dec 9th 2025 09:42:19	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-12-02	Workstation	Connected	Windows 10	8.9.0.14028	10.142.20.66		N/A\Windows 10		Dec 9th 2025 09:38:54	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-12-03	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.3		N/A\lek		Dec 9th 2025 09:41:22	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-13-01	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.183				Dec 4th 2025 10:09:51	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-13-02	Workstation	Connected	Windows 10	8.9.0.14028	10.104.100.194		N/A\oak		Dec 9th 2025 09:38:57	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-14-01	Workstation	Connected	Windows 11	8.9.0.14028	10.142.21.76		N/A\wut		Dec 9th 2025 09:39:38	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-14-02	Workstation	Disconnected	Windows 10	8.9.0.14028	10.142.21.121				Dec 8th 2025 16:34:59	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-14-03	Workstation	Disconnected	Windows 10	8.9.0.14028	10.142.30.178		N/A\mam		Dec 8th 2025 17:03:56	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-14-04	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.197		N/A\Computer		Dec 9th 2025 09:38:00	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-15-03	Workstation	Connected	Windows 10	8.9.0.14028	10.142.30.170		N/A\Windows 10		Dec 9th 2025 09:41:39	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-2-001	Workstation	Connected	Windows 11	8.9.0.14028	10.104.120.86		N/A\EasyDEC24		Dec 9th 2025 09:41:46	2060-26856	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-2-008	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.85				Dec 9th 2025 09:41:53	2060-26856	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-2-010	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.191				Dec 8th 2025 15:53:56	2060-26856	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-2-011	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.75		N/A\ADMIN		Dec 9th 2025 09:42:42	2060-26856	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-2-014	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.109		N/A\DBA		Dec 9th 2025 09:42:46	2060-26856	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-2-015	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.105		N/A\pui		Dec 4th 2025 14:08:10	2060-26856	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
DBA-0316-3-001	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.148				Nov 26th 2025 13:16:34	2050-26345	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
